win,turret_plates,early_roam_kills,first_blood,first_tower,first_dragon,first_rift_herald,void_grubs,min15_kills,min15_deaths,min15_assists,min15_wards_placed,min15_wards_killed,min15_control_wards,min15_cs,min15_cs_diff,min15_xp_diff,history_wr_global,history_wr_champ,racha_previa,is_MMR_check,role_JUNGLE,role_MIDDLE,role_TOP,role_UTILITY,is_flex
0,0,0,1,0,0,0,1,0.0,5.0,1.0,6.0,1.0,1.0,52.0,-75.0,-3143.0,0.6,0.5,0,0,0,0,1,0,0
1,5,0,0,1,1,1,0,1.0,2.0,0.0,6.0,0.0,2.0,119.0,17.0,-305.0,0.5769230769230769,0.0,-1,0,0,0,1,0,0
0,8,0,0,1,1,1,0,3.0,2.0,1.0,5.0,1.0,0.0,96.0,-11.0,-601.0,0.5925925925925926,0.5,1,0,0,0,1,0,0
0,1,0,0,1,0,1,3,0.0,2.0,3.0,2.0,1.0,2.0,80.0,-12.0,-509.0,0.5714285714285714,0.3333333333333333,-1,0,1,0,0,0,0
0,4,0,0,0,1,1,3,2.0,2.0,1.0,4.0,0.0,0.0,115.0,14.0,281.0,0.5517241379310345,0.25,-2,0,0,0,1,0,0
0,1,0,0,0,1,1,0,0.0,5.0,0.0,4.0,0.0,0.0,91.0,-37.0,-2955.0,0.5333333333333333,0.2,-3,0,0,0,1,0,0
0,0,0,0,0,0,0,3,1.0,6.0,0.0,2.0,0.0,0.0,68.0,-57.0,-2806.0,0.5161290322580645,0.5,-4,0,0,0,1,0,0
0,1,0,0,0,0,0,2,1.0,7.0,1.0,4.0,1.0,1.0,74.0,-16.0,-2720.0,0.5,0.5,-5,0,0,1,0,0,0
0,0,0,1,0,1,0,0,1.0,5.0,0.0,4.0,0.0,0.0,77.0,-28.0,-1025.0,0.48484848484848486,0.3333333333333333,-6,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0.0,8.0,1.0,3.0,0.0,0.0,84.0,-28.0,-2988.0,0.47058823529411764,0.5,-7,0,0,0,1,0,0
0,2,1,0,1,0,0,3,5.0,4.0,1.0,7.0,2.0,0.0,35.0,23.0,-523.0,0.4857142857142857,0.5,1,0,0,0,0,1,0
